Series,Part Number,Name,Subcategory,Images,Comments
Global Accord,2670-2,Upholstered High Back Knee-Tilter,Task Seating,TRUE,
Global Acoord,2670-4,Upholstered High Back Tilter,Task Seating,TRUE,
Global Accord,2671-2,Upholstered Medium Back Knee-Tilter,Task Seating,TRUE,
Global Accord,2671-4,Upholstered Medium Back Tilter,Task Seating,TRUE,
Global Accord,2672-6,Upholstered Medium Back Stool,Stools,TRUE,
Global Accord,2676-2,Mesh High Back Knee-Tilter,Task Seating,TRUE,
Global Accord,2676-4,Mesh High Back Tilter,Task Seating,TRUE,
Global Accord,2677-2,Mesh Medium Back Knee-Tilter,Task Seating,TRUE,
Global Accord,2677-4,Mesh Medium Back Tilter,Task Seating,TRUE,
Global Accord,2678-6,Mesh Medium Back Stool,Stools,TRUE,
Global Accord,2670-4PB,"Upholstered High Back Tilter, Pedestal Base",Pedestal Base,TRUE,
Global Accord,2671-4PB,"Upholstered Medium Back Tilter, Pedestal Base ",Pedestal Base,TRUE,
Global Accord,2676-4PB,"Mesh High Back Tilter, Pedestal Base",Pedestal Base,TRUE,
Global Accord,2677-4PB,"Mesh Medium Back Tilter, Pedestal Base",Pedestal Base,TRUE,
Luray,6460,Upholstered Extended High Back,Task Seating,TRUE,
Luray,6461,Upholstered High Back,Task Seating,TRUE,
Luray,6462,Upholstered Medium Back,Task Seating,TRUE,
Luray,6460PB,"Extended High Back, Pedestal Base",Pedestal Base,TRUE,
Luray,6461PB,"High Back, Pedestal Base",Pedestal Base,TRUE,
Luray,6462PB,"Medium Back, Pedestal Base",Pedestal Base,TRUE,
Solar,8456,"Medium Back Mesh Tilter, Asphalt Frame",Task Seating,TRUE,
Solar,8456NA,"Armless Mesh Seat & Back Tilter, Asphalt Frame",Task Seating,TRUE,
Solar,8456S,"Mesh Seat & Back Stool, Asphalt Frame",Stools,TRUE,
Solar,8456SNA,"Armless Mesh Seat & Back Stool, Asphalt Frame ",Armless Stools,TRUE,
Solar,8457,"Mesh Seat & Back Tilter, Alabaster Frame",Task Seating,TRUE,
Solar,8457NA,"Armless Mesh Seat & Back Tilter, Alabaster Frame",Task Seating,TRUE,
Solar,8457S,"Mesh Seat & Back Stool, Alabaster Frame",Stools,TRUE,
Solar,8457SNA,"Armless Mesh Seat & Back Stool, Alabaster Frame",Armless Stools,TRUE,
Prefer,8458,"Multi-Task Chair, Asphalt Frame & Base",Task Seating,TRUE,
Prefer,8458NA,"Armless Multi-Task Chair, Asphalt Frame & Base",Task Seating,TRUE,
