Application Typical,Workplace (WP),Application,Number,Code,Reference Image ,Main Product Line,Secondary Product Line,Seating,Internal Owner,Approval,Split to series typicals,
AT,WP,CZ - Collaboration,03,ATWPCZ03,ATWPCZ03.png,B3,Bridges II,Noetic,DS,Under Review,,
AT,WP,CZ - Collaboration,01,ATWPCZ01,ATWPCZ01R01.png,Collaborative Spaces,n/a,Prefer,JF,Approved,,
AT,WP,CZ - Collaboration,02,ATWPCZ02,ATWPCZ02R01.png,Collaborative Spaces,River +,Sas,JF,Approved,,
AT,WP,LS - Learning Spaces,02,ATWPLS02,ATWPLS02R01.png,2gether,n/a,Spritz,JF,Approved,,
AT,WP,LS - Learning Spaces,04,ATWPLS04,ATWPLS04.png,Evolve,Collaborative Spaces,Rebound,DS,,,
AT,WP,LS - Learning Spaces,01,ATWPLS01,ATWPLS01R01.png,Terina,n/a,Roma,JF,Approved,,
AT,WP,LS - Learning Spaces,03,ATWPLS03,ATWPLS03R01.png,Terina,n/a,Prefer,JF,Approved,,
AT,WP,MA - Meeting Areas,14,ATWPMA14,ATWPMA14R01.png,Boardroom,n/a,Drift,JF,,,
AT,WP,MA - Meeting Areas,11,ATWPMA11,ATWPMA11R01.png,Bungee,n/a,Roma,JF,Approved,,
AT,WP,MA - Meeting Areas,12,ATWPMA12,ATWPMA12R01.png,Bungee,n/a,Roma,JF,Approved,,
AT,WP,MA - Meeting Areas,02,ATWPMA02,ATWPMA02R01.png,Collaborative Spaces,n/a,Noetic,JF,Approved,,
AT,WP,MA - Meeting Areas,03,ATWPMA03,ATWPMA03R01.png,Collaborative Spaces,n/a,Drift,JF,,,
AT,WP,MA - Meeting Areas,05,ATWPMA05,ATWPMA05R01.png,Collaborative Spaces,n/a,Novello,JF,Approved,,
AT,WP,MA - Meeting Areas,04,ATWPMA04,ATWPMA04R01.png,ConnecTables,Evolve,Marche,JF,,,
AT,WP,MA - Meeting Areas,16,ATWPMA16,ATWPMA16.png,Evolve,Kadin,Prefer,DS,,,
AT,WP,MA - Meeting Areas,08,ATWPMA08,ATWPMA08R01.jpg,Junction,Zira,Novello,MJ,Approved,,
AT,WP,MA - Meeting Areas,06,ATWPMA06,ATWPMA06R01.png,Kadin,Wind Linear,Prefer,JF,Approved,,
AT,WP,MA - Meeting Areas,07,ATWPMA07,ATWPMA07R01.jpg,Kadin,Foundations,Luray,MJ,Approved,,
AT,WP,MA - Meeting Areas,09,ATWPMA09,ATWPMA09R01.png,Kadin,Zira,Marche,JF,Approved,,
AT,WP,MA - Meeting Areas,10,ATWPMA10,ATWPMA10R01.png,Kadin,n/a,Factor,JF,Approved,,
AT,WP,MA - Meeting Areas,01,ATWPMA01,ATWPMA01R01.png,Swap,Zira,Prefer,JF,Approved,,
AT,WP,MA - Meeting Areas,13,ATWPMA13,ATWPMA13.jpg,Zira,9300 Series,Loover,MJ,,,
AT,WP,MA - Meeting Areas,15,ATWPMA15,,Zira,Boardroom,Factor,JF,,,
AT,WP,OD - Outdoors,01,ATWPOD01,ATWPOD01R01.png,Bakhita,n/a,Bakhita,JF,Approved,X,
AT,WP,OD - Outdoors,02,ATWPOD02,ATWPOD02R01.png,Bakhita,n/a,Spykar,JF,Approved,X,
AT,WP,OP - Open Plan,10,ATWPOP10,ATWPOP10.png,B1,,Sora,DS,Approved,,
AT,WP,OP - Open Plan,11,ATWPOP11,ATWPOP11.png,B3,,Vion,DS,,,
AT,WP,OP - Open Plan,12,ATWPOP12,ATWPOP12.png,B3,Freefit,Factor,DS,,,
AT,WP,OP - Open Plan,13,ATWPOP13,ATWPOP13.png,B3,,Vion,DS,,,
AT,WP,OP - Open Plan,14,ATWPOP14,ATWPOP14.png,B3,Bridges II,n/a,DS,,,
AT,WP,OP - Open Plan,15,ATWPOP15,ATWPOP15.png,B3,Bridges II,Noetic,DS,,,
AT,WP,OP - Open Plan,16,ATWPOP16,ATWPOP16.png,B3,Freefit,Noetic,DS,,,
AT,WP,OP - Open Plan,17,ATWPOP17,ATWPOP17.png,B3,Freefit,Vion,DS,,,
AT,WP,OP - Open Plan,18,ATWPOP18,ATWPOP18.png,B3,Freefit,Factor,DS,,,
AT,WP,OP - Open Plan,19,ATWPOP19,ATWPOP19.png,B3,,Factor,DS,,,
AT,WP,OP - Open Plan,20,ATWPOP20,ATWPOP20.png,B3,Freefit,Vion,DS,,,
AT,WP,OP - Open Plan,21,ATWPOP21,ATWPOP21.png,B3,Freefit,Vion,DS,,,
AT,WP,OP - Open Plan,29,ATWPOP29,ATWPOP29.png,B3,,Factor,DS,,,
AT,WP,OP - Open Plan,02,ATWPOP02,ATWPOP02R01.png,Bridges II,n/a,Factor,JF,Approved,,
AT,WP,OP - Open Plan,07,ATWPOP07,ATWPOP07R01.jpg,Bridges II,n/a,Vion,MJ,Approved,,
